epoch,accuracy,loss,val_accuracy,val_loss
0,0.722000002861023,0.8475220203399658,0.8700000047683716,0.3055051863193512
1,0.8379999995231628,0.38556867837905884,0.8662499785423279,0.3030031621456146
2,0.8759999871253967,0.29930442571640015,0.8987500071525574,0.25657302141189575
3,0.9129999876022339,0.2611982524394989,0.8487499952316284,0.43213027715682983
4,0.9160000085830688,0.22644591331481934,0.8974999785423279,0.3188762366771698
5,0.9340000152587891,0.17533083260059357,0.9037500023841858,0.31809449195861816
6,0.925000011920929,0.1668819636106491,0.862500011920929,0.398118257522583
7,0.9409999847412109,0.16470691561698914,0.8924999833106995,0.33842355012893677
8,0.949999988079071,0.13384374976158142,0.9037500023841858,0.34622177481651306
9,0.968999981880188,0.08338645100593567,0.8274999856948853,0.8285647034645081
